Team,Rider,Date,Race,Class,RaceURL
S. PIETROBAUDO,PEDERSEN Mads,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
S. PIETROBAUDO,VINE Jay,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
S. PIETROBAUDO,JEANNIERE Emilien,2026-08-19,Lidl Deutschland Tour,2.Pro,race/deutschland-tour/2026
S. PIETROBAUDO,TURNER Ben,2026-08-13,Czech Tour,2.Pro,race/czech-tour/2026
S. PIETROBAUDO,JEGAT Jordan,2026-08-13,Czech Tour,2.Pro,race/czech-tour/2026
S. PIETROBAUDO,VAN GILS Maxim,2026-09-11,Grand Prix Cycliste de Québec,1.UWT,race/gp-quebec/2026
S. PIETROBAUDO,VAN GILS Maxim,2026-09-13,Grand Prix Cycliste de Montréal,1.UWT,race/gp-montreal/2026
S. PIETROBAUDO,BAUHAUS Phil,2026-08-19,Lidl Deutschland Tour,2.Pro,race/deutschland-tour/2026
S. PIETROBAUDO,RONDEL Mathys,2026-10-10,Il Lombardia,1.UWT,race/il-lombardia/2026
S. PIETROBAUDO,WIDAR Jarno,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
S. PIETROBAUDO,WIDAR Jarno,2026-10-10,Il Lombardia,1.UWT,race/il-lombardia/2026
SANROMARIANO,CHRISTEN Jan,2026-08-30,Bretagne Classic - CIC,1.UWT,race/bretagne-classic/2026
SANROMARIANO,CHRISTEN Jan,2026-10-10,Il Lombardia,1.UWT,race/il-lombardia/2026
SANROMARIANO,LAPEIRA Paul,2026-08-16,La Polynormande,1.1,race/la-poly-normande/2026
SANROMARIANO,LAPEIRA Paul,2026-08-30,Bretagne Classic - CIC,1.UWT,race/bretagne-classic/2026
SANROMARIANO,LAPEIRA Paul,2026-09-11,Grand Prix Cycliste de Québec,1.UWT,race/gp-quebec/2026
SANROMARIANO,LAPEIRA Paul,2026-09-13,Grand Prix Cycliste de Montréal,1.UWT,race/gp-montreal/2026
SANROMARIANO,HAYTER Ethan,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
SANROMARIANO,NORDHAGEN Jørgen,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
SANROMARIANO,SPARFEL Aubin,2026-08-20,Tour de l'Avenir,2.U,race/tour-de-l-avenir/2026
TOPINA M.B.,RICCITELLO Matthew,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
TOPINA M.B.,NYS Thibau,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
TOPINA M.B.,BISSEGGER Stefan,2026-08-25,TPC en Nouvelle-Aquitaine,2.1,race/tour-du-poitou-charentes-et-de-la-vienne/2026
TOPINA M.B.,BISIAUX Léo,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
TOPINA M.B.,BARRE Louis,2026-09-11,Grand Prix Cycliste de Québec,1.UWT,race/gp-quebec/2026
TOPINA M.B.,BARRE Louis,2026-09-13,Grand Prix Cycliste de Montréal,1.UWT,race/gp-montreal/2026
TOPINA M.B.,BARRE Louis,2026-10-10,Il Lombardia,1.UWT,race/il-lombardia/2026
TOPINA M.B.,MOURIS Michiel,2026-09-21,World Championships MU - ITT,WC,race/world-championships-itt-u23/2026
TOPINA M.B.,MOURIS Michiel,2026-09-25,World Championships MU - Road Race,WC,race/world-championships-u23/2026
TOPINA M.B.,MOURIS Michiel,2026-10-07,European Continental Championships MU - ITT,CC,race/european-continental-championships-u23-itt/2026
TOPINA M.B.,BEHRENS Niklas,2026-08-16,ADAC Cyclassics,1.UWT,race/cyclassics-hamburg/2026
